Landuse,Geology,DEM,Slope,Curvature,Aspect,NDVI,SPI,TWI,Dis2catchment,Dis2drainage,Dis2road,Dis2fault,X,Y,label
1,3,341,23.25530052,38.65159988,273.3659973,7062,1.516909957,3.206039906,4980.944557,927.242144,54.9842436,508.5134405,811236.7502,810938.7502,0
1,3,257,10.11750031,46.67100143,135,7498,-0.114054002,3.332930088,3500.785649,826.9449172,10.9614368,1277.710402,810159.4411,811150.8394,0
2,3,249,24.09300041,27.33869934,286.3900146,7164,0.804632008,2.414239883,50.42906468,280.4958966,81.04383515,268.4653359,811098.7138,811190.527,0
2,3,333,27.06509972,59.38270187,212.9049988,6687,1.631119967,2.974050045,190.62379,119.5295836,80.81786162,455.5443283,803743.2824,808690.2095,0
2,3,255,22.14220047,19.2133007,172.875,7935,0.363716006,2.162009954,10.14700042,119.656043,11.37437474,1054.001754,808360.2708,811918.1326,0
2,1,91,30.15730095,42.67079926,304.3800049,7769,1.066460013,2.15241003,4.773684709,69.08552762,14.42785557,359.8801309,809484.7522,815926.5781,0
2,1,170,28.37409973,39.72529984,142.5950012,7329,1.686609983,2.918560028,1.330064608,172.7404972,3.455449681,913.2153767,809140.7932,816257.308,0
2,3,178,27.94989967,19.1215992,2.726310015,7632,0.629095018,1.896630049,113.2560503,62.1982047,12.16444197,850.7741846,807936.9366,815423.8688,0
2,1,90,24.29789925,4.029709816,243.4349976,7423,0.814199984,2.404680014,0.499819023,246.1225358,3.978132174,1157.448298,809193.71,816812.9341,0
3,3,212,11.75529957,34.55590057,345.9639893,6194,0.039682701,3.17918992,2.891063928,105.4647652,136.9520266,1492.414836,804702.8399,810820.9915,0
3,3,193,28.58279991,13.49030018,103.3919983,6712,0.655578017,1.87014997,458.0453606,279.1649558,2.402357726,432.6548943,804448.8394,808280.9865,0
2,3,157,30.15449905,41.6529007,304.3800049,7493,0.719775975,1.805950046,171.6141306,578.3243428,8.129136461,1205.70176,802988.3364,809868.4896,0
2,3,269,38.30849838,48.21110153,296.5650024,6062,1.373710036,1.845170021,1264.806531,155.2767815,66.08087912,524.6122122,805972.8424,810905.6584,0
2,3,157,23.25519943,38.64199829,176.6340027,7817,0.764868021,2.45401001,1705.979229,100.3297922,1.674633569,172.0277478,806713.6772,810736.3247,0
2,3,325,24.88949966,22.45170021,22.38010025,6798,0.84148699,2.377389908,42.55362196,624.0734131,94.27695585,1304.785963,805930.509,812725.9954,0
2,3,382,28.98920059,3.603310108,210.0690002,6295,1.018959999,2.199919939,1321.602871,36.57547092,74.6678544,823.2264883,807899.0129,813974.8312,0
2,3,323,27.06760025,50.27500153,69.77510071,7094,1.631229997,2.973949909,5440.240538,542.9071718,18.26865986,998.8704688,809528.8495,814652.1659,0
2,3,263,30.3416996,34.17839813,82.56860352,7879,0.727285028,1.79843998,5.527519287,352.790883,34.39757891,591.1609514,810121.5174,810842.1583,0
3,3,324,28.16220093,57.5135994,8.13010025,7652,0.984597981,2.234280109,286.2958544,416.100388,1.934724863,639.690441,810876.1105,813289.6648,0
3,3,254,35.55310059,17.56290054,312.1380005,6909,0.926961005,1.598770022,812.8650876,64.41497672,123.5881641,363.7984848,810717.3602,813591.2904,0
2,3,78,15.93630028,3.386709929,225,7136,1.108109951,3.614840031,2620.917533,165.3225907,11.94947171,89.42880627,802198.788,808389.6182,0
2,3,285,2.043900013,23.51749992,135,7117,-0.114068002,6.551819801,12.42957361,210.7701521,52.93939122,1074.086414,804143.4794,810347.5388,0
3,3,298,5.763979912,16.29829979,0,6810,0.9,7.3,3341.708455,851.3817856,58.99196912,1526.556992,803786.2912,810658.4248,0
2,3,157,23.82110023,11.91559982,59.03620148,7448,0.445268989,2.080460072,2788.742361,630.9332291,69.63896443,960.6576435,803354.4904,807790.0712,0
2,3,179,37.93790054,59.19599915,209.0549927,6995,1.013810039,1.511909962,121.131277,12.05184119,173.4984245,378.3817784,803532.2907,808158.3719,0
2,3,385,21.75160027,21.34049988,198.4349976,7079,0.34404999,2.181679964,1007.534138,215.1625387,41.60898168,847.2778635,803938.6915,808888.6233,0
1,2,4,0,23.54999924,300,6753,0.9,7.3,3709.27164,11.18911398,73.06925724,671.676771,804154.592,812355.7303,0
2,2,4,0,29.90299988,300,7215,0.9,7.3,950.016336,585.7233911,695.9136077,471.227084,804529.2427,812920.8814,0
1,3,321,8.124569893,46.16279984,135,6706,-0.337161988,3.556040049,594.5525246,186.5436788,357.3994764,122.148121,805475.3946,813054.2317,0
1,3,721,35.41650009,24.54780006,152.526001,7391,2.3671,3.049000025,10839.86791,581.4816242,212.3371452,998.3232858,809816.8983,811992.1921,0
1,3,443,0,23.12039948,300,4959,-8.640620232,14.38519955,4156.655665,670.5938518,79.10852655,66.29072239,807943.6445,812897.0689,0
1,3,9,2.044130087,37.17900085,315,7744,-0.624781013,6.040880203,1914.986364,29.67557711,23.56537943,4.49341384,807943.6445,816476.8885,0
2,1,10,15.57649994,56.05089951,174.8059998,7309,0.332046986,2.886830091,4352.0413,330.2408327,62.07892967,692.0456066,809951.836,816651.5139,0
2,2,11,0,50.6487999,300,6735,0.9,7.3,2407.151671,347.6054674,53.57919525,106.9238088,810959.9006,815286.2611,0
2,2,24,4.562920094,12.62880039,18.43490028,7200,0.873050988,5.929339886,9625.582573,452.6135937,4.927470224,683.6604023,810864.6504,814603.6348,0
