landuse,Geology,DEM,Slope,Curvature,Aspect,NDVI,SPI,TWI,dis2catchment,dis2drainage,dis2road,dis2faults,X,Y,label
2,3,434,30.57299614,57.01096725,250.0168915,6949,1.083096504,2.135779381,12.72516335,362.0947046,16.612565,1539.300456,808287.6822,812446.5811,1
2,3,410,38.25251007,12.36541653,140.1944275,7289,1.025124073,1.50060463,156.6949886,338.7901713,220.1275938,1426.42452,811098.3208,812852.4429,1
2,3,431,41.74066925,18.44641495,208.7397919,4552,1.495419383,1.723456383,163.2932963,293.4871598,235.913757,1473.415986,807562.6647,813054.9037,1
2,3,269,42.94426727,25.39258194,130.6012878,7020,1.191043973,1.33468473,191.9670021,256.4472574,257.7462442,1507.351049,809598.3329,814550.5784,1
2,3,516,34.28788757,41.20996094,38.9909935,7561,0.879909873,1.64581883,212.4291475,251.266712,286.4276625,1509.017556,810762.8993,812574.8547,1
2,3,7,40,40,200,6000,1,2,34.46966847,48.45475991,64.45665532,1817.111326,802399.6377,810541.915,1
2,3,309,21.75228882,19.12791061,161.5650482,6873,0.690658689,2.528217077,71.90675742,261.7528911,510.8701469,1603.486693,803747.5447,810784.8306,1
2,3,124,28.57914543,44.6896286,283.3924866,7689,1.002001524,2.216874361,74.25775277,266.5943545,512.7261422,1599.101309,802783.421,809724.0415,1
2,1,6,40,40,200,7869,1,2,63.13948,250.265374,501.7793663,1614.708591,801771.228,810673.6745,1
2,1,6,40,40,200,7869,1,2,54.89104712,238.8435209,493.0953508,1625.830997,801761.6368,810674.7328,1
2,3,6,40,40,200,7608,1,2,18.11281897,83.75884539,564.0929302,1473.424517,801699.4493,810516.8697,1
2,3,5,40,40,200,7608,1,2,31.26887129,232.2002779,439.3668524,1566.475006,801699.6609,810511.8956,1
2,3,391,11.41359997,55.31187439,0,7417,1.395662308,4.595802307,30.48794597,114.4595162,646.5458513,1517.554197,805798.2821,810686.0782,1
2,3,188,39.87709427,7.390132904,244.9831085,7150,1.429654002,1.789221883,15.06566318,139.5272144,649.9706342,1539.657632,806102.5445,811571.78,1
2,3,239,36.05121231,47.92323685,213.6900635,6542,1.291858673,1.927017093,82.75193093,125.0539175,268.6188504,1798.279497,806229.3243,811559.8032,1
2,3,317,37.93426514,19.07980347,240.9454041,7695,1.013684273,1.51204443,21.48115056,219.1580573,174.971064,1710.066092,805613.1755,810669.8762,1
2,3,310,20.77508736,66.28677368,356.1859131,7019,0.640186429,2.578689337,14.11625603,194.3946485,134.9874543,1874.179222,804631.5826,810279.6273,1
2,3,283,57.91137314,36.3072052,184.5377808,7761,2.076210976,1.14266479,98.46895976,178.2221211,5.722191223,1844.437428,806747.2344,811256.4146,1
2,3,355,35.81950378,24.22420311,143.5307617,7762,1.283347964,1.935527921,45.63834195,39.46158714,108.6589025,1469.809616,805780.9561,810171.4077,1
2,1,4,33.2340126,40,105.6422501,6000,1.879815817,2.725354433,48.47968247,138.8395263,75.99961399,1483.518217,810877.8786,807988.701,1
2,3,443,42.9428978,18.99044991,139.3987122,7724,1.537569642,1.681306243,563.8251727,241.7080922,63.07381266,911.3042907,810863.7377,811949.0008,1
2,3,249,39.617836,63.99498749,142.4314117,7720,1.420449734,1.798426032,2195.49741,339.2655029,270.4886122,476.4202364,812420.322,811805.944,1
3,3,93,54.99031448,17.41556168,188.1300964,6258,1.965456486,1.25341928,2500.484575,412.6518698,131.1123169,753.4987582,813287.2744,814872.1229,1
3,3,15,40,40,200,7640,1,2,120.1951278,354.5563333,248.6087225,1729.230081,803722.8018,813586.7209,1
2,3,113,27.06737328,48.73854065,302.9052429,6553,1.284640551,2.627382517,27.63742026,80.07171616,28.00519455,1547.895587,810537.5746,814043.2226,1
3,3,523,38.97782898,36.22221375,86.42366791,7254,1.051085353,1.47464335,61.11772541,62.85936728,50.17815128,1571.6661,809182.5703,813251.1815,1
3,3,477,39.61818314,6.75955677,217.5685883,6660,1.07388854,1.451840043,704.1871933,141.1421019,59.74180877,512.1936822,807945.2581,812469.4948,1
2,3,325,42.01102066,19.86842728,191.3099365,7213,1.158339381,1.367389321,6.582323775,626.1476061,140.4736958,1582.292585,807559.4753,812215.5216,1
2,3,362,64.61876678,58.09288406,163.3007507,5634,2.355071306,0.863804579,15.28540469,681.6631536,137.1384961,1669.66251,807814.1815,812287.8777,1
3,3,471,38.16647339,24.46292686,222.3974457,6023,1.368607998,1.850267768,765.3475794,206.6878083,116.8697717,387.442176,807900.7338,812505.6087,1
